objectid,parentid,filename,title,creator,description,date,archival date,subject,latitude,longitude,source,donor,identifier,rights,standardized rights,item_type,format original,type,format,display_template,object_location,image_small,image_thumb
b4-correspondence-072,,b4-Correspondence-073.pdf,Memorandum Regarding Taylor Ranch Field Trip,"Peek, James M.",Memorandum from James M. Peek describing plans for a WLF 545 class field trip to Taylor Ranch,1989-13-11,11 1989,Taylor Ranch McCall; McCall Air Taxi; Field Trip; WLF 545,45.1032419,-114.8506688,James M. Peek,,b4-Correspondence-072,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-Correspondence-073.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-correspondence-072_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-correspondence-072_th.jpg
b4-correspondence-024,,b4-Correspondence-024.pdf,Memorandum to Kent Henderson Regarding Inequities in Fish and Wildlife Student/Faculty Ratio,"Hendee, John C.",Memorandum addressing the need to reallocate resources in the university's fish and wildlife department to better balance student/faculty ratios,1993-07-05,5 July 1993,University of IdahoFish and Wildlife Department,46.72988207,-117.0124083,John C. Hendee,,b4-Correspondence-024,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-Correspondence-024.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-correspondence-024_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-correspondence-024_th.jpg
b06-wildernessmanagement47,,b06-WildernessManagement47.pdf,Memorandum to R.H. Seale from Albert W. Erickson,"Erickson, Albert W.",Memorandum from Albert W. Erickson to R.H. Seale with information about the April 5th hearing about the reclassification of the Idaho Primitive Area.,1971-04-01,1 April 1971,ecology; land management,,,,Taylor Ranch,b06-WildernessManagement47,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessManagement47.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessmanagement47_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessmanagement47_th.jpg
b3-fish-019,,b3-Fish-019.pdf,Memorandum: 1996 MFSR Chinook Salmon redd counts summary,"Thurow, Russell F.",Summary of the surveys we completed in 1996 as part of the chinook salmon spatial habitat analysis project.,1996-10-09,9 October 1996,chinook; salmon; Big Creek; mainstream mfsr; bear valley; Big Creek; indian creek; loon creek; marble creek; marsh creek; pistol creek; rapid river; sheep creek; sulphur creek; Wilson Creek; Payette National Forest,,,,,b3-Fish-019,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b3-Fish-019.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b3-fish-019_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b3-fish-019_th.jpg
b3-fish-020,,b3-Fish-020.pdf,Memorandum: 1997 Middle Fork Salmon River Chinook Salmon redd count summary,"Thurow, Russell F.",Summary of redds counted and live fish observed during the chinook salmon spatial habitat analysis project.,1998-06-15,15 June 1998,chinook; salmon; Big Creek; mainstream mfsr; bear valley; Big Creek; indian creek; loon creek; marble creek; marsh creek; pistol creek; rapid river; sheep creek; sulphur creek; Wilson Creek; Payette National Forest,,,,,b3-Fish-020,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b3-Fish-020.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b3-fish-020_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b3-fish-020_th.jpg
b3-twrs_positionreports-009,,b3-TWRS_PositionReports-009.pdf,Memorandum: Goals for CY 1995,"Hendee, John C.",Memorandum written by Jeff Yeo to John C. Hendee requesting he complete goals for CY 95 and make corrections to my comments.,1996-03-13,13 March 1996,"college of forestry and wildlife; College of Forestry, Wildlife and Range Sciences",,,,,b3-TWRS_PositionReports-009,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b3-TWRS_PositionReports-009.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b3-twrs_positionreports-009_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b3-twrs_positionreports-009_th.jpg
b3-twrs_positionreports-001,,b3-TWRS_PositionReports-001.pdf,Memorandum: Resident Scientist/ Manager for Taylor Ranch Wilderness Field Station,"Hendee, John C.",Memorandum announcing two candidates for resident scientists/ manager position at Taylor Ranch Field Station.,1990-08-06,6 August 1990,"department of fish and wildlife; College of Forestry, Wildlife and Range Sciences; caretaker position",,,,,b3-TWRS_PositionReports-001,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b3-TWRS_PositionReports-001.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b3-twrs_positionreports-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b3-twrs_positionreports-001_th.jpg
b3-twrs_positionreports-006,,b3-TWRS_PositionReports-006.pdf,"Memorandum: Taylor Ranch Interns, Caretakers","Yeo, Jeff",Letter written to John C. Hendee from by Jeff Yeo concerning Taylor Ranch interns and caretakers.,1996-04-24,24 April 1996,"college of forestry and wildlife; College of Forestry, Wildlife and Range Sciences",,,,,b3-TWRS_PositionReports-006,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b3-TWRS_PositionReports-006.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b3-twrs_positionreports-006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b3-twrs_positionreports-006_th.jpg
b3-twrs_positionreports-003,,b3-TWRS_PositionReports-003.pdf,Memorandum: Taylor Ranch Scientist/ Manager,"Hendee, John C.",Memorandum announcing to Greg Hayward and Jeff Yeo that they have both been selected as finalists for Taylor Ranch Scientist/ Manager position.,1990-07-16,16 July 1990,"department of fish and wildlife; College of Forestry, Wildlife and Range Sciences",,,,,b3-TWRS_PositionReports-003,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b3-TWRS_PositionReports-003.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b3-twrs_positionreports-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b3-twrs_positionreports-003_th.jpg
b9-310,,b9-310.pdf,Memorandums from John C. Hendee; Memorandum from J. Fazio,"Hendee, John C.;Fazio, James R.","A memorandum from John C. Hendee to Wilderness Research Center Advisory Committee about meeting minutes from December 14, 1993, a memorandum from J. Fazio to Ken Sowles about use of Taylor Ranch, a memorandum from John C. Hendee to Department Heads, Associate Deans, Director of Administration, External Coordinator, Jay O'Laughlin, and Jeff Yeo about focuses for the 1992-93 academic year, and a confidential memorandum from John C. Hendee to Jeff Yeo and Ed Krumpe about the Wilderness Research Center.",1976,1976,meetings;committees,,,,Taylor Ranch,b9-310,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b9-310.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b9-310_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b9-310_th.jpg
b9-322,,b9-322.pdf,Memorandums from K. M. Sowles,"Sowles, Kenneth M.;Sowles, Kenneth M.","A memorandum from K.M. Sowles to Undergraduate Honorarium Recipients about regulations at Taylor Ranch, and a letter from Kenneth M. Sowles to Timothy John Monahan about a proposal.",1979-04,April 1979,regulations (executive records); ranches (agricultural complexes); honoraria (awards),,,,Taylor Ranch,b9-322,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b9-322.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b9-322_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b9-322_th.jpg
twrs125,,DSC_0254.JPG,Metal Canteen (1255),,This metal canteen was found along Eagan Creek near Soldier Bar by Jess Taylor. It was used by one of the soldier who fought in the Sheepeater Campaign. It's origin is from the Civil War.,2021,2021,Soldier Bar,45.104,-114.7934,,,DSC_0254,,,artifacts,photographs,Image;StillImage,image/jpeg,multiple,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0254.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0254_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0254_th.jpg
twrs126,twrs125,DSC_0255.JPG,Metal Canteen (1256),,This metal canteen was found along Eagan Creek near Soldier Bar by Jess Taylor. It was used by one of the soldier who fought in the Sheepeater Campaign. It's origin is from the Civil War.,2021,2021,Soldier Bar,45.104,-114.7934,,,DSC_0255,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0255.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0255_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0255_th.jpg
twrs185,,DSC_0327.JPG,Metal Measuring Cup,,Metal Measuring Cup,,,Tools,45.102402,-114.850242,,,DSC_0327,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0327.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0327_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0327_th.jpg
b10-069,,b10-069.pdf,Metallic Gun Cartridge Cases from the Historic Hays Guard Station,"Kingsbury, Lawrence A.","Paper describing the history and details of metallic gun cartridge cases found at Hays Guard Station on the Payette National Forest, Idaho.",1990-10,October 1990,historic buildings; small arms; archaeological artifacts; forest stations,45.21625463,-115.5708092,,Taylor Ranch,b10-069,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b10-069.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b10-069_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b10-069_th.jpg
b5-monitoring-005,,b5-Monitoring-005.pdf,Meteorological monitoring quality assurance project plan for the mountain cloud chemistry project,"Mohnen, Volker;Healey, James;Bradow, Ronald;Patterson, Ron","Documentation of a meteorological monitoring quality assurance project plan for the mountain cloud chemistry project prepared by the Associated Weather Services, Inc. and W.S. Fleming and Associates, Inc.",1986-10-01,1 October 1986,Taylor Ranch meteorology,,,,Taylor Ranch,b5-Monitoring-005,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b5-Monitoring-005.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b5-monitoring-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b5-monitoring-005_th.jpg
b2-otter-003,,b2-Otter-003.pdf,Methods And Techniques For Studying And Censusing River Otter Populations,"Mehlquist, Wayne E.;Whitman, Jackson S.;Hornocker, Maurice G.",A bulletin discussing the methods used to capture and study river otter populations in central Idaho. Various capture methods including traps are explained.,1979-03,March 1979,river otters; traps; radio telemetry,,,University of Idaho,,b2-Otter-003,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b2-Otter-003.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b2-otter-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b2-otter-003_th.jpg
b7-weeds-006,,b7-Weeds-006.pdf,Middle Fork of the Salmon River Noxious Weed Initiative,"Seaberg, Glen A.","A project plan for the management of noxious weeds on the Middle Fork of the Salmon River, Idaho.",1997-10-21,21 October 1997,infestation; removing; reports; field notes;Centaurea (genus),45.1028,-114.8517,,Taylor Ranch,b7-Weeds-006,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Weeds-006.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-weeds-006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-weeds-006_th.jpg
twrs627,,AchordEtAl2007.pdf,"Migration Timing, Growth, and Estimated Parr-to-Smolt Survival Rates of Wild Snake River Spring-Summer Chinook Salmon from the Salmon River Bain, Idaho, to the Lower Snake River","Achord, S.; Zabel, R.W.; Sandford, B.P.",Journal Publication,2007,2007,salmonids; streams,,,,,AchordEtAl2007,,,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/AchordEtAl2007.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/achordetal2007_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/achordetal2007_th.jpg
b2-fieldnotes-001k,,b2-FieldNotes-001k.pdf,Mikael Knoshaug,"Knoshaug, Mikael",Field journal about Mikael's research in the Taylor Ranch area.,2001,2001,field notes;logs (records); wildlife; sample collection,,,,,b2-FieldNotes-001k,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,field notes,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b2-FieldNotes-001k.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b2-fieldnotes-001k_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b2-fieldnotes-001k_th.jpg
b7-geology_soils-001,,b7-Geology_Soils-001.pdf,"Mineral Resources of the Idaho Primitive Area and Vicinity, Idaho","Cater, F. W.;Pinckney, D.M.;Hamilton, W. B.;Parker, R. L.;Weldin, R. D.;Close, T. J.;Zilka, N. T.","An excerpt of a comprehensive evaluation of the mineral resources of the Big Creek area, Frank Church - River of No Return Wilderness, Idaho.",1973,1973,research paper; mineral resource maps; geology; geological surveys; bulletins,45.1028,-114.8517,"Geological Survey Bulletin 1304, pp. 348-351",Taylor Ranch,b7-Geology_Soils-001,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Geology_Soils-001.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-geology_soils-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-geology_soils-001_th.jpg
twrs282,,https://westernmininghistory.com/mines/,Mines in the Western United States,Western Mining History,This is a map of the mines that can be found out west. Users can zoom in specifically on the Frank Church River of No Return Wilderness and the Big Creek area.,,,mining; Big Creek; mapping,,,,,,,,media,,InteractiveResource,link,record,https://westernmininghistory.com/mines/,,
twrs005,,DSC_0121.JPG,Mining Pan,,Mining Pan,,,mining,45.102402,-114.850242,,,DSC_0121,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0121.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0121_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0121_th.jpg
b06-wildernessmanagement68,,b06-WildernessManagement68.pdf,Minority Views on S. 174,"Dworshak, Henry;Hickey, J.J.;Goldwater, Barry;Allott, Gordon;Gruening, Ernest","A statement submitted in opposition to the Wilderness Bill by Henry Dworshak, J.J. Hickey, Barry Goldwater, and Gordon Allott followed by a rebuttal given by Senator Ernest Gruening.",1961-07-27,27 July 1961,ecology; land management,,,,Taylor Ranch,b06-WildernessManagement68,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessManagement68.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessmanagement68_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessmanagement68_th.jpg
b7-birds-005,,b7-Birds-005.pdf,Modeling of Some Aspects of a Blue Grouse Population,"Steuter, Allen A.",A population model for blue grouse in an area near Taylor Ranch.,1976-02-11,11 February 1976,research paper; Tetraonidae (family),45.1028,-114.8517,,Taylor Ranch,b7-Birds-005,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Birds-005.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-birds-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-birds-005_th.jpg
twrs522,,,Monitoring Boreal Owl Populations with Nest Boxes: Sample Size and Cost,"Hayward, G.D.; Steinhorst, R.K.; Hayward, P.H.",,1992,1992,ornithology; owls,,,,,,,,,,Text,record,record,,,
b5-monitoring-001,,b5-Monitoring-001.pdf,Monitoring locations in the Frank Church River of No Return Wilderness,"Gebhards, John S.",Correspondence from John S. Gebhards to Dr. Jeffrey Yeo. Handwritten checklist for inventorying.,1992-01-24,24 January 1992,,,,,Taylor Ranch,b5-Monitoring-001,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b5-Monitoring-001.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b5-monitoring-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b5-monitoring-001_th.jpg
b7-birds-014,,b7-Birds-014.pdf,Monitoring of Boreal Owl Populations with Nest Boxes: Sample Size and Cost,"Hayward, Gregory D.;Steinhorst, R. Kirk;Hayward, Patricia H.","A research publication for a study done using nest boxes on boreal owl populations on the Payette National Forest, Idaho.",1992-05-11,11 May 1992,research paper; Strigiformes (order); nests (animal architecture); observation; publications (documents),45.07535507,-116.1345937,"Journal of Wildlife Management, Vol 56, No. 4, pp. 777-785",Taylor Ranch,b7-Birds-014,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Birds-014.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-birds-014_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-birds-014_th.jpg
twrs500,,ACHORD__1993__p_1995__Salmon.pdf,"Monitoring the Migrations of Wild Snake River Spring/Summer Chinook Salmon Smolts, 1993","Achord, S.; Axel, G. A.; Hockersmith, E. E.; Sandford, B. P.; Eppard, M. B.; Matthews, G.",Annual Report,1993,1993,salmonids,,,,,"ACHORD, 1993 (p 1995) Salmon",,,,,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/ACHORD__1993__p_1995__Salmon.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/achord__1993__p_1995__salmon_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/achord__1993__p_1995__salmon_th.jpg
twrs499,,ACHORD__1994__p_1995__Salmon.pdf,"Monitoring the Migrations of Wild Snake River Spring/Summer Chinook Salmon Smolts, 1994","Achord, S.; Axel, G. A.; Hockersmith, E. E.; Sandford, B. P.; Eppard, M. B.; Matthews, G.",Annual Report,1994,1994,salmonids,,,,,"ACHORD, 1994 (p 1995) Salmon",,,,,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/ACHORD__1994__p_1995__Salmon.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/achord__1994__p_1995__salmon_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/achord__1994__p_1995__salmon_th.jpg
twrs498,,ACHORD__1995__p_1996__Salmon.pdf,"Monitoring the Migrations of Wild Snake River Spring/Summer Chinook Salmon Smolts, 1995","Achord, S.; Axel, G. A.; Hockersmith, E. E.; Sandford, B. P.; Eppard, M. B.; Matthews, G.",Annual Report,1995,1995,salmonids,,,,,"ACHORD, 1995 (p 1996) Salmon",,,,,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/ACHORD__1995__p_1996__Salmon.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/achord__1995__p_1996__salmon_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/achord__1995__p_1996__salmon_th.jpg
twrs497,,ACHORD__1996__p_1997__Salmon.pdf,"Monitoring the Migrations of Wild Snake River Spring/Summer Chinook Salmon Smolts, 1996","Achord, S.; Axel, G. A.; Hockersmith, E. E.; Sandford, B. P.; Eppard, M. B.; Matthews, G.",Annual Report,1996,1996,salmonids,,,,,"ACHORD, 1996 (p 1997) Salmon",,,,,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/ACHORD__1996__p_1997__Salmon.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/achord__1996__p_1997__salmon_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/achord__1996__p_1997__salmon_th.jpg
twrs496,,ACHORD__1997__p_1998__Salmon.pdf,"Monitoring the Migrations of Wild Snake River Spring/Summer Chinook Salmon Smolts, 1997","Achord, S.; Axel, G. A.; Hockersmith, E. E.; Sandford, B. P.; Eppard, M. B.; Matthews, G.",Annual Report,1997,1997,salmonids,,,,,"ACHORD, 1997 (p 1998) Salmon",,,,,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/ACHORD__1997__p_1998__Salmon.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/achord__1997__p_1998__salmon_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/achord__1997__p_1998__salmon_th.jpg
twrs495,,ACHORD__1998__p_2000__Salmon.pdf,"Monitoring the Migrations of Wild Snake River Spring/Summer Chinook Salmon Smolts, 1998","Achord, S.; Axel, G. A.; Hockersmith, E. E.; Sandford, B. P.; Eppard, M. B.; Matthews, G.",Annual Report,1998,1998,salmonids,,,,,"ACHORD, 1998 (p 2000) Salmon",,,,,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/ACHORD__1998__p_2000__Salmon.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/achord__1998__p_2000__salmon_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/achord__1998__p_2000__salmon_th.jpg
